,beginTime,dataId,gemo,imageCloudage,imageProductType,imageResolution,imageRowCol,imageSatelliteType,imageSensorType,imageSpectrumType,isDel,name,range,thumbnailPath
0,2017-09-02 02:58:39,00015a39c147dc4b40bb8bf97f6ab4c50427,,0.0,0101,"{2.00,8.00}",N70_E593,GF1,,"{QS,DGP}",0,GF1_PMS1_E127.7_N50.2_20170902_L1A0002578759,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.502,50.3796],[127.388,50.0354],[127.942,49.9616],[128.059,50.3055],[127.502,50.3796]]]]}",/data/GF1/2017/09/02/GF1_PMS1_E127.7_N50.2_20170902_L1A0002578759/GF1_PMS1_E127.7_N50.2_20170902_L1A0002578759
1,2017-09-02 02:58:43,0001779c5eb81467448e89c64ba59293ecbc,,0.0,0101,"{2.00,8.00}",N70_E593,GF1,,"{QS,DGP}",0,GF1_PMS1_E127.6_N49.9_20170902_L1A0002578743,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.411,50.1051],[127.298,49.7609],[127.849,49.6873],[127.965,50.0312],[127.411,50.1051]]]]}",/data/GF1/2017/09/02/GF1_PMS1_E127.6_N49.9_20170902_L1A0002578743/GF1_PMS1_E127.6_N49.9_20170902_L1A0002578743
2,2017-09-02 02:58:48,00011cdb456b75634799a3f414f640e3a934,,3.0,0101,"{2.00,8.00}",N71_E593,GF1,,"{QS,DGP}",0,GF1_PMS1_E127.5_N49.6_20170902_L1A0002578756,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.322,49.8303],[127.21,49.4861],[127.757,49.4127],[127.872,49.7566],[127.322,49.8303]]]]}",/data/GF1/2017/09/02/GF1_PMS1_E127.5_N49.6_20170902_L1A0002578756/GF1_PMS1_E127.5_N49.6_20170902_L1A0002578756
3,2017-09-02 02:58:52,0001fc838a093bcf413a9c35f10628a30e1c,,5.0,0101,"{2.00,8.00}",N71_E593,GF1,,"{QS,DGP}",0,GF1_PMS1_E127.5_N49.4_20170902_L1A0002578757,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.233,49.5554],[127.122,49.2113],[127.665,49.1381],[127.78,49.482],[127.233,49.5554]]]]}",/data/GF1/2017/09/02/GF1_PMS1_E127.5_N49.4_20170902_L1A0002578757/GF1_PMS1_E127.5_N49.4_20170902_L1A0002578757
4,2017-09-02 02:58:52,00011a44ce98f8b946839576580c6c0a0201,,2.0,0101,"{2.00,8.00}",N71_E592,GF1,,"{QS,DGP}",0,GF1_PMS2_E128.0_N49.3_20170902_L1A0002578869,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.763,49.4817],[127.65,49.1438],[128.168,49.0715],[128.284,49.4092],[127.763,49.4817]]]]}",/data/GF1/2017/09/02/GF1_PMS2_E128.0_N49.3_20170902_L1A0002578869/GF1_PMS2_E128.0_N49.3_20170902_L1A0002578869
5,2017-09-02 02:58:57,0001da7be3b2ac97460aa049e03bdde58fc9,,9.0,0101,"{2.00,8.00}",N72_E593,GF1,,"{QS,DGP}",0,GF1_PMS1_E127.4_N49.1_20170902_L1A0002578760,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.144,49.2804],[127.034,48.9364],[127.575,48.8634],[127.689,49.2072],[127.144,49.2804]]]]}",/data/GF1/2017/09/02/GF1_PMS1_E127.4_N49.1_20170902_L1A0002578760/GF1_PMS1_E127.4_N49.1_20170902_L1A0002578760
6,2017-09-02 02:58:57,0001e5677157b93b494aa86a2c70f7e1f904,,9.0,0101,"{2.00,8.00}",N72_E592,GF1,,"{QS,DGP}",0,GF1_PMS2_E127.9_N49.0_20170902_L1A0002578870,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.672,49.2069],[127.56,48.869],[128.075,48.797],[128.19,49.1346],[127.672,49.2069]]]]}",/data/GF1/2017/09/02/GF1_PMS2_E127.9_N49.0_20170902_L1A0002578870/GF1_PMS2_E127.9_N49.0_20170902_L1A0002578870
7,2017-09-02 02:59:02,00016dc973bceadf49f895786099135a1cc7,,21.0,0101,"{2.00,8.00}",N72_E592,GF1,,"{QS,DGP}",0,GF1_PMS2_E127.8_N48.7_20170902_L1A0002578867,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.581,48.9322],[127.47,48.5943],[127.982,48.5225],[128.096,48.8601],[127.581,48.9322]]]]}",/data/GF1/2017/09/02/GF1_PMS2_E127.8_N48.7_20170902_L1A0002578867/GF1_PMS2_E127.8_N48.7_20170902_L1A0002578867
8,2017-09-02 02:59:10,00011b2d26a46eac4effb16b7c9fd060fa9e,,3.0,0101,"{2.00,8.00}",N73_E593,GF1,,"{QS,DGP}",0,GF1_PMS1_E127.1_N48.3_20170902_L1A0002578763,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.882,48.4554],[126.774,48.1114],[127.306,48.039],[127.418,48.3828],[126.882,48.4554]]]]}",/data/GF1/2017/09/02/GF1_PMS1_E127.1_N48.3_20170902_L1A0002578763/GF1_PMS1_E127.1_N48.3_20170902_L1A0002578763
9,2017-09-02 02:59:11,0001cb65be4cf256431787540fd24ffa5a09,,20.0,0101,"{2.00,8.00}",N73_E592,GF1,,"{QS,DGP}",0,GF1_PMS2_E127.6_N48.2_20170902_L1A0002578866,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.401,48.3824],[127.292,48.0447],[127.798,47.9733],[127.911,48.3107],[127.401,48.3824]]]]}",/data/GF1/2017/09/02/GF1_PMS2_E127.6_N48.2_20170902_L1A0002578866/GF1_PMS2_E127.6_N48.2_20170902_L1A0002578866
